Phase,Label,Status,Detail
"Seed","Seed: Volunteer created","PASS","status=201"
"Seed","Seed: Questions available","PASS","5 questions"
"Seed","Seed: Survey exists","PASS","surveyId=108"
"Seed","Seed: Course exists","PASS","{""id"":""4ae82964-f0d3-4c87-b0a8-aeec035db5f5"",""title"":""Curso de Introducción al Voluntariado"",""descri"
"Seed","Seed: Blog posts exist","PASS","9 posts"
"C2.1","C2.1: Candidate application accepted","PASS","status=201"
"C2.1","C2.1: Candidate appears in admin list","PASS","status=200"
"C2.1","C2.1: Candidate record found","PASS",""
"C2.2","C2.2: Questions available","PASS","5 questions"
"C2.2","C2.2: Survey submitted","PASS","status=200"
"C2.2","C2.2: Survey report accessible","PASS","status=200"
"C2.2","C2.2: Report has data","PASS","report={""success"":true,""data"":{""reportJson"":{""title"":""Survey Report"",""generated_at"":""20"
"C2.3","C2.3: Contract created","PASS","status=201"
"C2.3","C2.3: Contract retrievable via admin","PASS","status=200"
"C2.3","C2.3: Field - nombre","PASS","got=QA Deep Test"
"C2.3","C2.3: Field - email","PASS","got=qa-contract-652139@test.com"
"C2.3","C2.3: Field - lugar","PASS","got=Madrid"
"C2.3","C2.3: Field - areas includes Formación","PASS","areas=[""Formación""]"
"C2.3","C2.3: Field - domicilio","PASS","got=123 QA Street"
"C2.3","C2.3: Field - derechoDatos","PASS",""
"C2.3","C2.3: Field - derechoImagen","PASS",""
"C2.3","C2.3: Field - derechoConfidencialidad","PASS",""
"C2.3","C2.3: Firma is encrypted object","PASS",""
"C3.1","C3.1: No session to test","PASS","Skipped - no seeded session"
"C3.4","C3.4: Project created","PASS","status=201"
"C3.4","C3.4: Projects listable","PASS","status=200"
"C3.4","C3.4: At least one project visible","PASS","1 projects"
"C3.4","C3.4: Conversations listable","PASS","status=200"
"C3.4","C3.4: Message sent","PASS","status=201"
"C4.1","C4.1: POST /api/users returns 403 for non-admin","PASS","got=403"
"C4.1","C4.1: POST /api/surveys returns 403 for non-admin","PASS","got=403"
"C4.1","C4.1: POST /api/questions returns 403 for non-admin","PASS","got=403"
"C4.1","C4.1: DELETE /api/contracts/fake-id returns 403 for non-admin","PASS","got=403"
"C4.1","C4.1: GET /api/users?page=1&pageSize=10 returns 403 for non-admin","PASS","got=403"
"C4.1","C4.1: GET /api/dashboard/stats returns 403 for non-admin","PASS","got=403"
"C4.3","C4.3: GET /api/surveys returns 401 for unauthenticated","PASS","got=401"
"C4.3","C4.3: GET /api/contracts returns 401 for unauthenticated","PASS","got=401"
"C4.3","C4.3: GET /api/dashboard/stats returns 401 for unauthenticated","PASS","got=401"
"C4.3","C4.3: GET /api/users returns 401 for unauthenticated","PASS","got=401"
"C5.1","C5.1: Contract validation - Missing name + bad email","PASS","got=400"
"C5.1","C5.1: Contract validation - Empty body","PASS","got=400"
"C5.1","C5.1: Contract validation - Bad email","PASS","got=400"
"C5.2","C5.2: Pagination - page=-1","PASS","got=400"
"C5.2","C5.2: Pagination - page=0","PASS","got=400"
"C5.2","C5.2: Pagination - pageSize=9999","PASS","got=400"
"C5.5","C5.5: Large input handled gracefully","PASS","got=400"
"C6.1","C6.1: Dashboard stats accessible","PASS","status=200"
"C6.1","C6.1: Contracts list accessible","PASS","status=200"
"C6.1","C6.1: Dashboard totalContracts matches contracts list","PASS","dashboard=15"
"C6.2","C6.2: Gamification profile accessible","PASS","status=200"
"C6.2","C6.2: Gamification ranking accessible","PASS","status=200"
